channel,video_title,video_id,comment,compound
AppleInsider,PSVR Motion controllers coming to Apple Vision Pro?!,D8U3Fhdn9X4,3,0.638
Marques Brownlee,Apple Vision Pro is Missing Something...,hOi8s2wkX4A,40,0.592
Marques Brownlee,Apple Vision Pro Review: Tomorrow&#39;s Ideas... Today&#39;s Tech!,86Gy035z_KA,40,0.534
AppleInsider,Belkin made the Vision Pro head strap that Apple didn’t,t0Ws_lohcxQ,5,0.533
Marques Brownlee,Apple Vision Pro Impressions!,OFvXuyITwBI,40,0.522
AppleInsider,Apple Vision Pro: Honest Long-Term 6-Month Review!,eBCVBx6J_Vg,40,0.521
AppleInsider,Cloud Gaming on Vision Pro! Best Use Case??,pja-D90AofM,19,0.499
Marques Brownlee,Using Apple Vision Pro: What It’s Actually Like!,dtp6b76pMak,40,0.492
AppleInsider,"Apple Vision Pro OR $5,000 TV!?",1r-QLKRoM1I,40,0.484
AppleInsider,Vision Pro is Apple&#39;s Most Impressive Tech EVER!,ulRofC0y058,40,0.479
AppleInsider,Two new Vision Pro models may be coming!,HLhAjCeCS18,5,0.424
AppleInsider,Apple Vision Pro Review: Tomorrow Comes Today,ME2XDNsXDy8,40,0.411
Marques Brownlee,Apple Vision Pro Unboxing!,SaneSRqePVY,40,0.401
Unbox Therapy,Apple Vision Pro Unboxing - Are We There Yet?,RrljT4EXHK4,40,0.386
AppleInsider,Apple Vision Pro: Hands on and in Person!,mL110gZM5Y4,40,0.344
Unbox Therapy,Apple Vision Pro w/ Android?,pE0-TeChSy0,40,0.332
AppleInsider,Does visionOS 2 Make Vision Pro WORTH It?!,H286gcdUaR8,40,0.321
AppleInsider,Here’s what you NEED to know about ordering Apple Vision Pro! #VisionPro #Apple #tech,uPbPGGXHzbg,6,0.302
AppleInsider,Apple Vision Pro Just Got WAY Better – Massive visionOS 2.4 Update!,RZkx-7MB85Y,40,0.294
AppleInsider,I Tried Apple Vision Pro and Here&#39;s What Happened,ENrEKcmjyBQ,40,0.283
AppleInsider,Apple Vision Pro VS Meta Quest 3! HONEST Comparison!,Cf7rYcOZmKg,40,0.28
AppleInsider,Apple Adds MAJOR Feature to Vision Pro! Hands On with Spatial Personas!,gU4_AF6Ccjw,26,0.277
AppleInsider,How Vision Pro Can BOOST Your Productivity!,2VugjSNlsxk,25,0.26
AppleInsider,Goodbye Monitors? Apple’s Vision Pro Just Added Ultra Wide Display for Mac!,7u_4cAQ_6KE,39,0.238
AppleInsider,"Apple Vision Pro visionOS: Hands On with the UI, Apps, &amp; More!",pMu_VpfnXhI,35,0.231
Marques Brownlee,Apple Vision Pro Hidden Feature ✈️ #protip,CjWfgSrwrz0,40,0.228
Marques Brownlee,Apple Vision Pro vs Ready Player One?,tciqW8VKfOU,40,0.223
AppleInsider,Experience Spatial Computing NOW With Xreal Air AR Glasses!,JmHU494J44s,21,0.201
TechDale,APPLE VISION PRO È STATO UN FALLIMENTO?,R7WYq5QYJ44,40,0.194
TechDale,UN SALTO NEL FUTURO: Apple Vision Pro e la NUOVA REALTÀ,JgGjY_zLFGM,40,0.185
Unbox Therapy,only thing Apple Vision Pro needs…,ygDCDbMCDso,40,0.181
TechDale,A cena con APPLE VISION PRO,ZkDe9HQ56J0,40,0.172
AppleInsider,Vision Pro has an all-new Guest Mode!,Nqc25NOoHGU,7,0.169
TechDale,APPLE VISION PRO: Unboxing e PRIMO TEST,9BxQDSn9bMk,40,0.162
TechDale,IL NUOVO VISORE APPLE: VISION PRO,GvcmqJ59wCs,40,0.156
AppleInsider,"Celebrating and questioning the Apple Vision Pro after one year, on the AppleInsider Podcast",l3WkJWRl8qk,5,0.148
Marques Brownlee,$3500 Apple Vision Pro: What Comes in the Box!,4MbshUkkA38,40,0.127
TechDale,TUTTA LA VERITÀ SU APPLE VISION PRO.,hfMMH1yYiok,40,0.08
